productId,name,type,shortDescription,description,vendorId,storefrontPriceVisibility,options,availability,isFragile,published,isTaxable,productImages,categoryName,variantId,variantAvailable,variantAttributes,variantCost,variantCurrency,variantDepth,variantDescription,variantDimensionUom,variantHeight,variantWidth,variantManufacturerItemCode,variantManufacturerItemId,variantPackaging,variantPrice,variantVolume,variantVolumeUom,variantWeight,variantWeightUom,variantOptionName,variantOptionsPath,variantOptionItemsPath,variantSku,variantActive,variantImages,variantItemCode
P123,Sample Product,Type1,Short desc,Long description,V123,public,"[opt1:Color:Red]",in stock,true,true,true,"[image1.jpg:link1:0:image1]",Category1,V1234,true,"[size:M]",100,USD,10,Variant desc,cm,20,30,M1234,M5678,Box,120,1,cm,0.5,kg,Size,/path/to/options,/path/to/optionItems,SKU123,true,"[variant1.jpg:link2:1:variant image]",Code123
P123,Sample Product,Type1,Short desc,Long description,V123,public,"[opt1:Color:Red]",in stock,true,true,true,"[image1.jpg:link1:0:image1]",Category1,V5678,true,"[size:L]",110,USD,12,Variant desc 2,cm,22,32,M1234,M5678,Box,130,1.2,cm,0.6,kg,Size,/path/to/options,/path/to/optionItems,SKU456,true,"[variant2.jpg:link3:2:variant image]",Code456
P124,Sample Product,Type1,Short desc,Long description,V123,public,"[opt1:Color:Red]",in stock,true,true,true,"[image1.jpg:link1:0:image1]",Category1,V5678,true,"[size:L]",110,USD,12,Variant desc 2,cm,22,32,M1234,M5678,Box,130,1.2,cm,0.6,kg,Size,/path/to/options,/path/to/optionItems,SKU456,true,"[variant2.jpg:link3:2:variant image]",Code456
P125,Sample Product,Type1,Short desc,Long description,V123,public,"[opt1:Color:Red]",in stock,true,true,true,"[image1.jpg:link1:0:image1]",Category1,V5678,true,"[size:L]",110,USD,12,Variant desc 2,cm,22,32,M1234,M5678,Box,130,1.2,cm,0.6,kg,Size,/path/to/options,/path/to/optionItems,SKU456,true,"[variant2.jpg:link3:2:variant image]",Code456
P126,Sample Product,Type1,Short desc,Long description,V123,public,"[opt1:Color:Red]",in stock,true,true,true,"[image1.jpg:link1:0:image1]",Category1,V5678,true,"[size:L]",110,USD,12,Variant desc 2,cm,22,32,M1234,M5678,Box,130,1.2,cm,0.6,kg,Size,/path/to/options,/path/to/optionItems,SKU456,true,"[variant2.jpg:link3:2:variant image]",Code456
P127,Sample Product,Type1,Short desc,Long description,V123,public,"[opt1:Color:Red]",in stock,true,true,true,"[image1.jpg:link1:0:image1]",Category1,V5678,true,"[size:L]",110,USD,12,Variant desc 2,cm,22,32,M1234,M5678,Box,130,1.2,cm,0.6,kg,Size,/path/to/options,/path/to/optionItems,SKU456,true,"[variant2.jpg:link3:2:variant image]",Code456
P128,Sample Product,Type1,Short desc,Long description,V123,public,"[opt1:Color:Red]",in stock,true,true,true,"[image1.jpg:link1:0:image1]",Category1,V5678,true,"[size:L]",110,USD,12,Variant desc 2,cm,22,32,M1234,M5678,Box,130,1.2,cm,0.6,kg,Size,/path/to/options,/path/to/optionItems,SKU456,true,"[variant2.jpg:link3:2:variant image]",Code456
P129,Sample Product,Type1,Short desc,Long description,V123,public,"[opt1:Color:Red]",in stock,true,true,true,"[image1.jpg:link1:0:image1]",Category1,V5678,true,"[size:L]",110,USD,12,Variant desc 2,cm,22,32,M1234,M5678,Box,130,1.2,cm,0.6,kg,Size,/path/to/options,/path/to/optionItems,SKU456,true,"[variant2.jpg:link3:2:variant image]",Code456
P130,Sample Product,Type1,Short desc,Long description,V123,public,"[opt1:Color:Red]",in stock,true,true,true,"[image1.jpg:link1:0:image1]",Category1,V5678,true,"[size:L]",110,USD,12,Variant desc 2,cm,22,32,M1234,M5678,Box,130,1.2,cm,0.6,kg,Size,/path/to/options,/path/to/optionItems,SKU456,true,"[variant2.jpg:link3:2:variant image]",Code456
P131,Sample Product,Type1,Short desc,Long description,V123,public,"[opt1:Color:Red]",in stock,true,true,true,"[image1.jpg:link1:0:image1]",Category1,V5678,true,"[size:L]",110,USD,12,Variant desc 2,cm,22,32,M1234,M5678,Box,130,1.2,cm,0.6,kg,Size,/path/to/options,/path/to/optionItems,SKU456,true,"[variant2.jpg:link3:2:variant image]",Code456
